Family,Genus,Species,EToLID,Catalog #,Label,Total length (bp),No of charsets,enc1,ficd,gtdc2 ,kiaa1239,myh6,panx2,plagl2,ptchd4,rag1,rag2,rh,ripk4,snx33,sidkey,gpr85,svep1,tbr1b,vcpip,zic1,16S,hoxc6a,,,,,,
Acipenseridae,Scaphirhynchus,platorynchus,G1477,_,G1477_Scaphirhynchus_platorynchus,4542,5,0,0,0,0,0,0,699,711,1482,0,0,0,690,0,0,0,0,0,960,0,0,,,,,,
Acropomatidae,Synagrops,spinosus,E1123,KU_08284,E1123_Synagrops_spinosus,6835,7,0,0,0,0,743,887,0,0,0,0,0,626,705,1251,0,0,0,0,813,1810,0,,,,,,
Acropomatidae,Synagrops,bellus,E1125,KU_08301,E1125_Synagrops_bellus,10698,12,657,0,0,798,778,888,0,0,1554,0,927,635,705,1237,0,825,0,0,882,812,0,,,,,,
Acropomatidae,Acropoma,japonicum,G1188,_,G1188_Acropoma_japonicum,6944,7,0,0,0,0,731,0,699,0,1482,0,0,0,0,1278,964,0,0,0,855,935,0,,,,,,
Adrianichthyidae,Oryzias,latipes,G1408,_,G1408_Oryzias_latipes,18566,19,657,732,891,963,744,984,699,711,1575,1206,927,645,705,1299,990,0,789,756,984,2309,0,,,,,,
Agonidae,Sarritor,leptorhynchus,E0254,KU_02051,E0254_Sarritor_leptorhynchus,5646,7,0,657,0,951,710,0,0,0,0,0,0,0,379,1248,0,819,0,0,882,0,0,,,,,,
Agonidae,Sarritor,frenatus,E0264,KU_02343,E0264_Sarritor_frenatus,4946,6,0,684,0,951,0,0,804,0,0,0,0,0,0,0,0,0,813,0,882,812,0,,,,,,
Agonidae,Bathyagonus,alascanus,E0268,KU_02360,E0268_Bathyagonus_alascanus,4835,6,0,657,0,0,678,0,804,0,0,0,0,633,0,0,0,0,0,0,0,958,1105,,,,,,
Agonidae,Hypsagonus,quadricornis,E0269,KU_02364,E0269_Hypsagonus_quadricornis,6546,8,0,696,0,951,0,0,804,682,0,0,0,645,705,1251,0,0,0,0,0,812,0,,,,,,
Agonidae,Xeneretmus,latifrons,E0278,KU_02414,E0278_Xeneretmus_latifrons,5870,7,0,0,0,0,710,0,0,748,0,0,852,635,0,1231,0,0,0,0,882,812,0,,,,,,
Agonidae,Bathyagonus,pentacanthus,E0430,KU_03193,E0430_Bathyagonus_pentacanthus,4594,6,0,0,0,0,692,0,804,748,0,0,0,635,0,0,0,0,0,0,757,958,0,,,,,,
Akysidae,Akysis,sp,G1191,_,G1191_Akysis_sp,3426,3,0,0,0,0,0,0,0,0,1575,966,0,0,0,0,0,0,0,0,0,885,0,,,,,,
Albulidae,Albula,vulpes,E0501,KU_03814,E0501_Albula_vulpes,12587,13,657,702,0,963,789,975,0,711,1575,1182,0,0,0,0,0,777,768,660,984,1844,0,,,,,,
Albulidae,Albula,glossodonta,G1192,_,G1192_Albula_glossodonta,6286,6,0,0,0,0,0,0,687,708,846,0,0,0,0,0,0,0,747,0,984,2314,0,,,,,,
Alepisauridae,Alepisaurus,brevirostris,E0653,KU_05258,E0653_Alepisaurus_brevirostris,4543,6,657,654,0,0,0,0,807,0,1080,0,0,640,705,0,0,0,0,0,0,0,0,,,,,,
Alepisauridae,Anotopterus,pharao,E0964,KU_07440,E0964_Anotopterus_pharao,7737,9,657,0,891,804,744,861,804,711,1560,0,0,0,705,0,0,0,0,0,0,0,0,,,,,,
Alepisauridae,Alepisaurus,ferox,E0965,UW113571,E0965_Alepisaurus_ferox,9659,12,0,669,870,792,681,858,612,696,1401,0,0,0,696,0,0,765,747,0,872,0,0,,,,,,
Alepisauridae,Omosudis,lowii,E0999,KU_08145,E0999_Omosudis_lowii,8276,9,657,669,0,0,681,897,804,0,1560,0,0,0,0,1246,0,0,0,0,984,778,0,,,,,,
Alepocephalidae,Alepocephalus,tenebrosus,E0358,KU_02271,E0358_Alepocephalus_tenebrosus,8614,8,0,690,0,0,699,868,0,0,1575,0,0,0,705,0,0,0,831,0,927,2319,0,,,,,,
Alepocephalidae,Talismania,bifurcata,E0359,KU_02273,E0359_Talismania_bifurcata,7779,7,0,693,0,0,775,0,0,0,1575,0,0,0,705,0,0,0,831,0,881,2319,0,,,,,,
Alepocephalidae,Xenodermichthys,copei,E0779,KU_05905,E0779_Xenodermichthys_copei,6487,7,0,0,0,0,714,858,0,0,1575,0,0,0,705,0,0,0,831,0,822,982,0,,,,,,
Alepocephalidae,Rouleina,attrita,E0977,KU_07490,E0977_Rouleina_attrita,5247,7,0,651,0,0,699,0,699,0,927,0,0,0,0,0,0,0,813,687,771,0,0,,,,,,
Alepocephalidae,Alepocephalus,agassizii,G1194,_,G1194_Alepocephalus_agassizii,7905,8,0,0,891,0,744,0,0,711,0,0,852,0,705,0,0,0,789,0,894,2319,0,,,,,,
Alepocephalidae,Bathylaco,nigricans,G1223,_,G1223_Bathylaco_nigricans,5367,5,0,0,891,0,0,0,0,711,0,0,0,0,657,0,0,0,789,0,0,2319,0,,,,,,
Alestidae,Phenacogrammus,interruptus,G1435,_,G1435_Phenacogrammus_interruptus,9026,8,0,0,0,0,0,0,699,711,1575,1194,831,0,705,0,990,0,0,0,0,2321,0,,,,,,
Alestidae,Alestes,baremoze,G1515,_,G1515_Alestes_baremoze,3649,4,0,0,0,0,786,0,0,0,0,1188,0,0,705,0,0,0,0,0,0,970,0,,,,,,
Ambassidae,Ambassis,interrupta,E1100,KU_07261,E1100_Ambassis_interrupta,9865,9,0,0,0,963,0,928,813,0,1575,0,0,645,0,0,990,0,0,0,972,1816,1163,,,,,,
Ambassidae,Ambassis,agrammus,G1196,_,G1196_Ambassis_agrammus,9194,9,0,0,0,912,789,0,819,0,1539,0,0,645,0,705,983,0,0,0,972,1830,0,,,,,,
Ambassidae,Ambassis,urotaenia,G1197,_,G1197_Ambassis_urotaenia,6277,8,633,0,873,0,0,0,687,711,0,0,0,0,700,0,900,0,789,0,984,0,0,,,,,,
Amblycipitidae,Liobagrus,aequilabris,G1358,_,G1358_Liobagrus_aequilabris,5891,7,0,0,0,0,774,0,699,0,920,0,0,0,705,0,990,0,831,0,972,0,0,,,,,,
Amblyopsidae,Troglichthys,rosae,G1198,_,G1198_Troglichthys_rosae,6966,8,0,0,0,0,720,0,636,711,1542,0,837,0,705,0,0,0,831,0,984,0,0,,,,,,
Amblyopsidae,Chologaster,cornuta,G1254,_,G1254_Chologaster_cornuta,8623,10,0,0,840,0,789,0,636,711,1544,0,837,0,705,0,0,0,765,0,984,812,0,,,,,,
Amblyopsidae,Speoplatyrhinus,poulsoni,G1490,_,G1490_Speoplatyrhinus_poulsoni,6993,8,0,0,0,0,759,0,636,711,1533,0,834,0,705,0,0,0,831,0,984,0,0,,,,,,
Amiidae,Amia,calva,E0461,KU_03491,E0461_Amia_calva,13335,14,0,732,891,963,744,0,699,711,1575,381,852,0,705,0,990,0,789,0,984,2319,0,,,,,,
Ammodytidae,Ammodytes,hexapterus,E0414,KU_03138,E0414_Ammodytes_hexapterus,9429,10,0,0,0,744,743,0,813,746,0,0,759,632,0,1272,0,0,0,0,791,1810,1119,,,,,,
Amphiliidae,Amphilius,jacksonii,G1200,_,G1200_Amphilius_jacksonii,6957,8,657,0,0,0,789,0,699,711,1575,0,0,0,705,0,990,0,831,0,0,0,0,,,,,,
Anabantidae,Ctenopoma,acutirostre_kingsleyae,E1141,LS279,E1141_Ctenopoma_acutirostre_kingsleyae,12953,13,657,0,891,951,0,0,687,0,1536,0,759,645,705,1296,969,0,749,0,981,2127,0,,,,,,
Anabantidae,Microctenopoma,nanum,G1373,_,G1373_Microctenopoma_nanum,9955,10,657,0,846,0,744,0,663,0,1482,0,0,0,705,0,972,0,777,0,984,2125,0,,,,,,
Anarhichadidae,Anarhichas,orientalis_lupus,E0117,KU_00382,E0117_Anarhichas_orientalis_lupus,12649,14,657,0,873,786,743,852,804,748,0,0,852,645,705,0,954,0,0,0,831,2310,889,,,,,,
Anarhichadidae,Anarrhichthys,ocellatus,E0119,KU_00457,E0119_Anarrhichthys_ocellatus,7394,9,0,0,0,798,0,915,804,748,0,0,0,632,705,0,0,0,0,0,829,959,1004,,,,,,
Anarhichadidae,Anarhichas,denticulatus,E0787,KU_05943,E0787_Anarhichas_denticulatus,8048,8,0,0,0,798,0,918,804,756,0,0,0,635,0,0,0,0,0,669,0,2310,1158,,,,,,
Anchariidae,Gogo,arcuatus,G1304,_,G1304_Gogo_arcuatus,4051,4,0,0,0,0,630,0,0,0,1575,915,0,0,0,0,0,0,0,0,0,931,0,,,,,,
Anguillidae,Anguilla,rostrata,G1202,_,G1202_Anguilla_rostrata,11303,11,657,729,891,963,789,984,0,711,1575,0,0,0,705,0,0,0,0,0,984,2315,0,,,,,,
Anoplogastridae,Anoplogaster,cornuta,E0662,KU_05291,E0662_Anoplogaster_cornuta,10571,11,0,657,0,735,744,924,804,0,0,0,0,645,705,1248,0,0,0,726,0,2307,1076,,,,,,
Anoplopomatidae,Anoplopoma,fimbria,E0423,KU_03169,E0423_Anoplopoma_fimbria,15443,17,657,690,891,807,744,918,804,748,831,0,0,0,705,1251,978,687,828,764,830,2310,0,,,,,,
Antennariidae,Antennatus,nummifer,E0587,KU_05049,E0587_Antennatus_nummifer,10064,13,0,654,0,786,743,795,804,747,0,489,0,645,672,1250,0,0,0,729,783,967,0,,,,,,
Antennariidae,Histrio,histrio,E0643,KU_05232,E0643_Histrio_histrio,7572,8,0,0,0,0,0,750,0,0,0,519,0,645,705,1036,0,0,831,0,773,2313,0,,,,,,
Antennariidae,Antennatus,coccineus,E1092,KU_07143,E1092_Antennatus_coccineus,14940,16,0,606,831,792,728,945,804,756,1482,501,759,0,696,1248,0,0,774,723,984,2311,0,,,,,,
Antennariidae,Fowlerichthys,radiosus,E1124,KU_08287,E1124_Fowlerichthys_radiosus,4800,6,0,0,0,786,0,786,807,0,0,501,0,645,0,1275,0,0,0,0,0,0,0,,,,,,
Antennariidae,Histiophryne,cryptacanthus,G1326,_,G1326_Histiophryne_cryptacanthus,8720,10,0,0,873,0,726,0,696,702,1482,0,0,0,696,0,879,0,780,0,906,980,0,,,,,,
Aphredoderidae,Aphredoderus,sayanus,E0151,KU_00860,E0151_Aphredoderus_sayanus,10556,11,0,0,891,0,744,0,636,724,1482,0,759,0,354,0,877,0,789,0,984,2316,0,,,,,,
Aplocheilidae,Pachypanchax,playfairii,G1414,_,G1414_Pachypanchax_playfairii,3126,4,0,0,819,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,957,732,0,,,,,,
Apogonidae,Astrapogon,puncticulatus,E0109,KU_00247,E0109_Astrapogon_puncticulatus,6721,8,0,684,0,0,0,927,0,744,0,0,0,645,0,1248,0,825,819,0,829,0,0,,,,,,
Apogonidae,Pterapogon,kauderni,E0190,KU_01916,E0190_Pterapogon_kauderni,6355,8,0,0,0,735,743,744,804,744,0,0,0,632,705,1248,0,0,0,0,0,0,0,,,,,,
Apogonidae,Phaeoptyx,pigmentaria,E0506,KU_03873,E0506_Phaeoptyx_pigmentaria,8561,10,0,648,0,774,729,867,804,744,0,0,0,0,0,1245,0,0,814,0,769,0,1167,,,,,,
Apogonidae,Archamia,biguttata,E0522,KU_04049,E0522_Archamia_biguttata,6560,9,0,657,0,735,729,750,804,744,0,0,0,635,705,0,0,0,0,0,801,0,0,,,,,,
Apogonidae,Cheilodipterus,isostigmus,E0528,KU_04238,E0528_Cheilodipterus_isostigmus,7732,9,0,675,0,774,729,885,804,744,0,0,0,0,0,1248,0,0,0,0,786,0,1087,,,,,,
Apogonidae,Gymnapogon,urospilotus,E0539,KU_04497,E0539_Gymnapogon_urospilotus,4552,6,0,657,0,0,743,900,0,744,0,0,0,0,696,0,0,0,0,0,812,0,0,,,,,,
Apogonidae,Cercamia,eremia,E0546,KU_04626,E0546_Cercamia_eremia,6192,8,0,0,0,690,411,903,804,0,0,0,0,635,0,0,0,0,809,0,770,0,1170,,,,,,
Apogonidae,Pseudamia,gelatinosa,E0568,KU_04896,E0568_Pseudamia_gelatinosa,6824,8,0,0,0,0,0,798,804,747,0,0,0,615,705,1248,0,0,0,0,769,0,1138,,,,,,
Apogonidae,Pristiapogon,exostigma,E0702,KU_05459,E0702_Pristiapogon_exostigma,7953,10,0,654,0,711,743,801,804,744,0,0,0,635,0,1248,0,0,814,0,799,0,0,,,,,,
Apogonidae,Nectamia,fusca,E0732,KU_05613,E0732_Nectamia_fusca,8376,9,0,0,0,783,725,804,804,744,0,0,0,626,0,1248,0,0,0,0,779,1863,0,,,,,,
Apogonidae,Nectamia,bandanensis,E1040,KU_05693,E1040_Nectamia_bandanensis,8340,10,0,0,0,729,743,915,804,0,0,0,0,632,705,1251,0,651,0,0,829,0,1081,,,,,,
Apogonidae,Apogon,campbelli,E1069,KU_06906,E1069_Apogon_campbelli,9482,10,0,0,0,798,730,909,819,0,0,0,825,635,705,1083,0,0,0,0,0,1810,1168,,,,,,
Apogonidae,Ostorhinchus,cookii,E1087,KU_07117,E1087_Ostorhinchus_cookii,6424,8,0,675,0,774,730,912,804,756,0,0,0,604,0,0,0,0,0,0,0,0,1169,,,,,,
Apogonidae,Fowleria,aurita,E1090,KU_07124,E1090_Fowleria_aurita,7046,9,0,675,0,765,743,912,804,756,0,0,0,638,701,0,0,0,0,0,0,0,1052,,,,,,
Apogonidae,Rhabdamia,cypselura,E1095,KU_07209,E1095_Rhabdamia_cypselura,5395,6,0,657,0,753,742,909,0,0,0,0,0,0,0,1248,0,0,0,0,0,0,1086,,,,,,
Apogonidae,Ostorhinchus,lateralis,G1203,_,G1203_Ostorhinchus_lateralis,7785,9,657,0,855,0,0,0,696,678,1482,0,0,0,705,0,960,0,789,0,963,0,0,,,,,,
Apogonidae,Cheilodipterus,quinquelineatus,G1247,_,G1247_Cheilodipterus_quinquelineatus,9357,11,657,0,885,0,738,0,681,711,1482,0,0,0,705,0,963,0,789,0,945,801,0,,,,,,
Apteronotidae,Apteronotus,albifrons,G1204,_,G1204_Apteronotus_albifrons,10894,11,657,0,786,0,705,0,699,711,1575,0,0,0,705,0,970,0,789,0,984,2313,0,,,,,,
Aracanidae,Aracana,aurita,G1205,_,G1205_Aracana_aurita,7692,9,0,0,852,0,744,0,696,711,1371,0,0,0,705,0,957,0,789,0,867,0,0,,,,,,
Aracanidae,Anoplocapros,lenticularis,G1533,_,G1533_Anoplocapros_lenticularis,5426,5,0,0,0,0,789,0,0,0,593,0,771,0,0,0,0,0,0,0,951,2322,0,,,,,,
Arapaimidae,Arapaima,gigas,G1206,_,G1206_Arapaima_gigas,11777,11,0,729,891,963,0,941,0,711,1575,1206,0,0,483,0,980,0,0,0,984,2314,0,,,,,,
Arapaimidae,Heterotis,niloticus,G1324,_,G1324_Heterotis_niloticus,10584,9,0,0,891,963,0,984,0,0,1575,1206,0,0,705,0,964,0,0,0,984,2312,0,,,,,,
Argentinidae,Argentina,sialis_silus,E0352,KU_02199,E0352_Argentina_sialis_silus,11411,14,657,666,891,774,744,896,0,711,1575,0,0,625,705,0,983,0,789,0,984,411,0,,,,,,
Argentinidae,Argentina,striata,E1031,KU_08310,E1031_Argentina_striata,3703,5,642,0,0,0,0,0,0,0,915,0,0,629,0,0,0,0,746,0,771,0,0,,,,,,
Ariidae,Ariopsis,felis_seemanni,G1208,_,G1208_Ariopsis_felis_seemanni,8741,8,0,0,0,0,648,0,699,0,1575,972,0,0,705,0,990,0,831,0,0,2321,0,,,,,,
Ariommatidae,Ariomma,melanum,E0665,KU_05304,E0665_Ariomma_melanum,9798,12,0,663,0,780,726,900,804,748,0,0,0,645,696,1248,0,0,0,744,801,0,1043,,,,,,
Ariommatidae,Ariomma,bondi,E1126,KU_08311,E1126_Ariomma_bondi,7327,8,0,0,0,816,743,867,804,0,1539,0,0,622,705,1231,0,0,0,0,0,0,0,,,,,,
Artedidraconidae,Pogonophryne,barsukovi,E0158,KU_00923,E0158_Pogonophryne_barsukovi,12445,13,0,0,0,843,744,945,795,748,0,0,738,645,661,1299,0,0,831,0,828,2310,1058,,,,,,
Artedidraconidae,Artedidraco,orianae,G1525,_,G1525_Artedidraco_orianae,5879,6,0,0,0,0,676,0,0,0,0,0,701,0,620,0,0,0,726,0,843,2313,0,,,,,,
Astroblepidae,Astroblepus,sp,G1211,_,G1211_Astroblepus_sp,3536,3,0,0,0,0,0,0,0,0,1575,1026,0,0,0,0,0,0,0,0,0,935,0,,,,,,
Ateleopodidae,Ijimaia,antillarum,E0685,KU_05411/YFTC13919,E0685_Ijimaia_antillarum,5526,7,657,654,0,0,714,0,804,0,1262,0,0,635,0,0,0,0,0,0,800,0,0,,,,,,
Ateleopodidae,Ateleopus,japonicus,G1213,_,G1213_Ateleopus_japonicus,7711,7,0,0,891,0,729,0,684,711,1470,0,0,0,0,0,0,0,0,0,912,2314,0,,,,,,
Atherinidae,Atherinomorus,stipes,E0115,KU_00326,E0115_Atherinomorus_stipes,11946,14,0,684,0,783,744,906,804,744,1541,0,0,645,705,1251,0,813,828,684,814,0,0,,,,,,
Atherinidae,Craterocephalus,honoriae,E0180,KU_01681,E0180_Craterocephalus_honoriae,7546,9,0,684,0,789,0,879,0,744,0,0,0,0,0,1247,0,804,804,762,0,833,0,,,,,,
Atherinidae,Atherinomorus,vaigiensis,E0181,KU_01691,E0181_Atherinomorus_vaigiensis,6868,9,0,684,0,777,744,879,804,0,0,0,0,632,705,0,0,0,819,0,824,0,0,,,,,,
Atherinidae,Atherinomorus,lacunosus,E0548,KU_04683,E0548_Atherinomorus_lacunosus,13504,16,657,681,849,735,710,843,804,744,1482,0,0,645,705,1251,960,0,810,0,792,836,0,,,,,,
Atherinopsidae,Atherinopsis,californiensis,E0121,KU_00480,E0121_Atherinopsis_californiensis,5730,7,0,0,0,804,0,924,804,748,0,0,0,0,705,0,0,0,0,0,830,0,915,,,,,,
Atherinopsidae,Menidia,menidia,E0167,KU_01591,E0167_Menidia_menidia,11154,11,0,0,0,720,0,897,0,746,1575,0,852,629,705,0,0,0,819,0,828,2311,1072,,,,,,
Atherinopsidae,Membras,martinica,E0170,KU_01620,E0170_Membras_martinica,6302,7,0,0,0,0,657,870,0,0,1542,0,0,620,696,0,0,0,0,0,0,852,1065,,,,,,
Atherinopsidae,Menidia,beryllina,E0174,KU_01643,E0174_Menidia_beryllina,6864,8,0,0,0,0,0,882,0,747,1164,0,0,645,705,0,0,0,819,0,832,0,1070,,,,,,
Atherinopsidae,Odontesthes,argentinensis,E0393,KU_02692,E0393_Odontesthes_argentinensis,4605,6,0,0,0,789,0,897,0,747,0,0,0,645,0,0,0,0,0,720,807,0,0,,,,,,
Atherinopsidae,Odontesthes,humensis,E0394,KU_02694,E0394_Odontesthes_humensis,5694,7,0,657,0,798,0,843,0,747,0,0,0,645,0,0,0,0,0,0,824,0,1180,,,,,,
Atherinopsidae,Odontesthes,retropinnis,E0395,KU_02696,E0395_Odontesthes_retropinnis,4957,6,0,681,0,780,0,804,0,747,0,0,0,0,0,0,0,0,0,0,791,0,1154,,,,,,
Atherinopsidae,Odontesthes,bonariensis,E0396,KU_02697/GO,E0396_Odontesthes_bonariensis,8071,9,0,645,0,951,0,831,0,0,0,0,822,645,705,864,0,0,0,0,804,1804,0,,,,,,
Atherinopsidae,Labidesthes,sicculus,E1112,KU_08107,E1112_Labidesthes_sicculus,13507,15,657,0,891,780,744,906,0,711,1482,0,0,626,705,1240,990,0,789,0,984,833,1169,,,,,,
Auchenipteridae,Ageneiosus,atronasus,G1190,_,G1190_Ageneiosus_atronasus,3871,4,0,0,0,0,648,0,0,0,1533,759,0,0,0,0,0,0,0,0,0,931,0,,,,,,
Aulopidae,Aulopus,filamentosus,E0502,KU_03816,E0502_Aulopus_filamentosus,5415,7,657,654,0,0,669,0,0,0,1548,0,459,632,0,0,0,0,0,0,796,0,0,,,,,,
Aulorhynchidae,Aulorhynchus,flavidus,G1217,_,G1217_Aulorhynchus_flavidus,10960,11,657,0,891,0,744,0,753,711,1426,0,0,0,705,0,966,0,814,0,984,2309,0,,,,,,
Aulostomidae,Aulostomus,maculatus,E0293,KU_00098,E0293_Aulostomus_maculatus,12074,14,657,0,870,948,696,708,804,696,1482,0,0,645,0,0,954,0,768,0,984,691,1171,,,,,,
Aulostomidae,Aulostomus,chinensis,E0871,KU_06988,E0871_Aulostomus_chinensis,8532,11,0,693,0,759,725,0,804,0,0,0,756,632,705,0,0,780,0,705,808,0,1165,,,,,,
Bagridae,Bagrus,ubangensis,G1219,_,G1219_Bagrus_ubangensis,4665,6,657,0,0,0,0,0,699,0,783,0,0,0,705,0,990,0,831,0,0,0,0,,,,,,
Bagridae,Mystus,bocourti,G1387,_,G1387_Mystus_bocourti,3440,3,0,0,0,0,0,0,0,0,1575,1026,0,0,0,0,0,0,0,0,0,839,0,,,,,,
Balistidae,Balistoides,conspicillum,E0373,KU_02882,E0373_Balistoides_conspicillum,9071,9,0,648,0,0,708,843,0,0,1503,0,360,0,657,0,0,0,0,0,882,2303,1167,,,,,,
Balistidae,Canthidermis,maculata,E0378,KU_02960,E0378_Canthidermis_maculata,9480,9,0,645,0,0,729,0,0,0,1488,0,360,0,705,1248,0,0,0,0,882,2303,1120,,,,,,
Balistidae,Xanthichthys,auromarginatus,E0380,KU_02982,E0380_Xanthichthys_auromarginatus,11206,11,0,693,0,786,717,861,0,0,1490,0,360,0,696,1251,0,0,0,0,882,2303,1167,,,,,,
Balistidae,Rhinecanthus,assasi,E0381,KU_02983,E0381_Rhinecanthus_assasi,5516,6,0,0,0,780,712,837,0,0,1503,0,0,0,0,0,0,0,0,0,882,802,0,,,,,,
Balistidae,Pseudobalistes,fuscus,E0524,KU_04119,E0524_Pseudobalistes_fuscus,4195,5,0,0,0,0,0,0,0,0,1503,0,360,0,705,0,0,0,0,0,829,798,0,,,,,,
Balistidae,Sufflamen,chrysopterum,E0551,KU_04751,E0551_Sufflamen_chrysopterum,5952,7,0,651,0,0,0,780,0,0,1416,0,360,0,703,1240,0,0,0,0,0,802,0,,,,,,
Balistidae,Balistes,capriscus,E0591,KU_05071,E0591_Balistes_capriscus,10092,12,657,636,0,639,723,882,0,711,1503,1206,459,0,0,0,0,0,831,0,814,1031,0,,,,,,
Balistidae,Rhinecanthus,aculeatus,E0735,KU_05641,E0735_Rhinecanthus_aculeatus,8776,9,657,654,0,0,778,822,819,0,1554,0,360,0,0,0,0,0,0,0,829,2303,0,,,,,,
